,Produto,Link,Valor
0,"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc pulseira  black de  elastômero termoplástico e liga de alumínio XMSH10HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-11-caixa-de-plastico-pc-pulseira-black-de-elastmero-termoplastico-e-liga-de-aluminio-xmsh10hm/p/MLB15963018?pdp_filters=category:MLB135384#searchVariation=MLB15963018&position=1&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$179,22"
1,Smartwatch Xiaomi Mi Band 5 Versão Global Original,https://produto.mercadolivre.com.br/MLB-1646514760-smartwatch-xiaomi-mi-band-5-verso-global-original-_JM?searchVariation=77961045301#searchVariation=77961045301&position=6&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$182,04"
2,Relógio Smartband Xiaomi Mi Band 5 C/ Funções Inteligentes,https://produto.mercadolivre.com.br/MLB-1779494960-relogio-smartband-xiaomi-mi-band-5-c-funcoes-inteligentes-_JM?searchVariation=77611986140#searchVariation=77611986140&position=7&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$268,80"
3,Mi Band 5 Smartwatch Xiaomi Global + Kit 3 Pulseira Envio Ja,https://produto.mercadolivre.com.br/MLB-1896060559-mi-band-5-smartwatch-xiaomi-global-kit-3-pulseira-envio-ja-_JM?searchVariation=85859027760#searchVariation=85859027760&position=10&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$218,99"
4,Smartwatch Xiaomi Mi Band 5 Versão Global,https://produto.mercadolivre.com.br/MLB-1779808152-smartwatch-xiaomi-mi-band-5-verso-global-_JM#position=11&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$186,99"
5,Xiaomi Mi Smart Band 5 1.1  Caixa De  Ban 5 Xmsh10hm,https://produto.mercadolivre.com.br/MLB-1904516087-xiaomi-mi-smart-band-5-11-caixa-de-ban-5-xmsh10hm-_JM?searchVariation=86769201322#searchVariation=86769201322&position=12&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$187,99"
6,Relogio Smartwatch Xiaomi Mi Band 5 + Pulseira + Pelicula M5,https://produto.mercadolivre.com.br/MLB-1680974801-relogio-smartwatch-xiaomi-mi-band-5-pulseira-pelicula-m5-_JM?searchVariation=76295628531#searchVariation=76295628531&position=13&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
7,Mi Band 5 Pulseira Versão Global Original Relógio Lacrado,https://produto.mercadolivre.com.br/MLB-1622095906-mi-band-5-pulseira-verso-global-original-relogio-lacrado-_JM?searchVariation=61579624994#searchVariation=61579624994&position=14&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$199,99"
8,Xiaomi Mi Band 5 Global + 3 Pulseira Extra + 1 Pelicula M31,https://produto.mercadolivre.com.br/MLB-1885373348-xiaomi-mi-band-5-global-3-pulseira-extra-1-pelicula-m31-_JM?searchVariation=84794339379#searchVariation=84794339379&position=15&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
9,"Xiaomi Mi Smart Band 5 (NFC) 1.1"" caixa de  plástico pc  preta pulseira  preta de  tpu e liga de alumínio XMSH11HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-nfc-11-caixa-de-plastico-pc-preta-pulseira-preta-de-tpu-e-liga-de-aluminio-xmsh11hm/p/MLB16040268?pdp_filters=category:MLB135384#searchVariation=MLB16040268&position=2&search_layout=stack&type=product&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$189,75"
10,Relógio Amazfit Band 5 Alexa Oxímetro Versão Global Original,https://produto.mercadolivre.com.br/MLB-1743460940-relogio-amazfit-band-5-alexa-oximetro-verso-global-original-_JM?searchVariation=75816799090#searchVariation=75816799090&position=16&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$221,99"
11,Smartwatch Xiaomi Mi Band 5 Versão Global + Película,https://produto.mercadolivre.com.br/MLB-1653756077-smartwatch-xiaomi-mi-band-5-verso-global-pelicula-_JM?searchVariation=63782915697#searchVariation=63782915697&position=17&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$190,78"
12,Relogio Smartwatch Xiaomi Mi Band 5 + Pulseira + Pelicula M5,https://produto.mercadolivre.com.br/MLB-1667794373-relogio-smartwatch-xiaomi-mi-band-5-pulseira-pelicula-m5-_JM?searchVariation=76295621827#searchVariation=76295621827&position=18&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$207,88"
13,Kit Com 5 Pulseiras Para Mi Band 5 E Amazfit Band 5 Silicone,https://produto.mercadolivre.com.br/MLB-1799046187-kit-com-5-pulseiras-para-mi-band-5-e-amazfit-band-5-silicone-_JM?searchVariation=76789005098#searchVariation=76789005098&position=21&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$39,49"
14,Xiaomi Mi Band 6 Versao Global + 3 Pulseira + 1 Pelicula M63,https://produto.mercadolivre.com.br/MLB-1888104467-xiaomi-mi-band-6-versao-global-3-pulseira-1-pelicula-m63-_JM?searchVariation=85049298652#searchVariation=85049298652&position=22&search_layout=stack&type=item&tracking_id=f3b3d7f3-ff5f-4225-a0fa-fd1f77f4b8c2,"R$337,88"
